title,price,date,location_site,category_site,area,post_type,room_count,parking,mortgage,rent,elevator,age
130 متری چند قدمی پارک قیطریه,,2023-08-12 09:46:10,tehran-province,house-apartment-for-rent,130,آپارتمان,2.0,True,2000000000.0,۲۰۰۰۰۰۰۰۰۰ ,True,2.0
خانه ویلایی بازسازی شده روستای بشل,3200000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,530,خانه و کلنگی,2.0,True,,,,4.0
فروش آپارتمان 90 متر در سهروردی جنوبی(بهار شیراز),10000000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,
143 متر سند تک برگ خادم اباد شهریار,3950000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,143,آپارتمان,3.0,True,,,True,4.0
180 متری / نوساز سند تک برگ ویو دار در طبقات بالا,19500000000.0,2023-08-12 09:46:10,tehran-province,houses-apartments-for-sale,180,آپارتمان,3.0,True,,,True,
اپارتمان خام بهترین گزینه لرای سرمایه گذاری,750000000.0,2023-08-12 09:46:10,razavi-khorasan,houses-apartments-for-sale,85,آپارتمان,2.0,True,,,True,
138متر شهرک پناهی 2خوابه,,2023-08-12 09:46:10,ardabil-province,house-apartment-for-rent,138,خانه,2.0,,250000000.0,۲۵۰۰۰۰۰۰۰ ,,3.0
خانه نوسازپشت بازار ملت,,2023-08-12 09:46:11,ardabil-province,house-apartment-for-rent,140,آپارتمان,2.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,,
پنت‌هاوس/عشق‌آباد/فول‌/نوساز150متر,2600000000.0,2023-08-12 09:46:11,razavi-khorasan,houses-apartments-for-sale,150,آپارتمان,3.0,True,,,True,
اجاره65متری فول امکانات خوش نقشه در بلوار امام رضا,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,65,آپارتمان,1.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,8.0
اجاره آپارتمان اداری 120 متر در نظرآباد,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,120,آپارتمان,4.0,,600000000.0,۶۰۰۰۰۰۰۰۰ ,True,6.0
اجاره آپارتمان 65 متری محدوده پنجم / تک خواب تخلیه,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,65,آپارتمان,1.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,,13.0
اجاره آپارتمان 120 متر در مارلیک,,2023-08-12 09:46:11,alborz,house-apartment-for-rent,120,آپارتمان,2.0,,400000000.0,۴۰۰۰۰۰۰۰۰ ,,2.0
میرزاطاهر - آپارتمان صفر 90 متری - فروش یا معاوضه با مغازه,4300000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,
آپارتمان نقلی با نورعالی,1900000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,91,آپارتمان,2.0,True,,,True,1.0
معاوضه واحد75متری پارکشهر,2000000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,75,آپارتمان,2.0,,,,True,17.0
خانه ویلایی در اجگرد,2000000000.0,2023-08-12 09:46:11,isfahan-province,houses-apartments-for-sale,500,خانه و کلنگی,3.0,,,,,17.0
اجاره 100متر منزل,,2023-08-12 09:46:11,ilam-province,house-apartment-for-rent,100,خانه,1.0,,80000000.0,۸۰۰۰۰۰۰۰ ,,12.0
منزل2طبقه طبقه دوم اجاره داده میشه,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,85,آپارتمان,1.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,,5.0
خانه ای ویلایی حیاط داروبزرگ باکلیه ی امکانات جهت رهن,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,180,ویلا,2.0,True,250000000.0,۲۵۰۰۰۰۰۰۰ ,,10.0
رهن واحد 75متری,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,75,آپارتمان,2.0,True,120000000.0,۱۲۰۰۰۰۰۰۰ ,,14.0
متقاضی منزل اجاره ای,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,100,خانه,2.0,,800000000.0,۸۰۰۰۰۰۰۰۰ ,,9.0
طبقه بالا خانه,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,85,خانه,2.0,,300000000.0,۳۰۰۰۰۰۰۰۰ ,,22.0
اپارتمان فاز7 پشت ترمینال,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,90,آپارتمان,2.0,True,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,5.0
خانه طبقه بالا دو خواب تازه بازسازی شده فاز1,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,140,خانه,2.0,True,450000000.0,۴۵۰۰۰۰۰۰۰ ,,6.0
رهن و کرایه لکس شیک دارای پاکیتگ,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,180,خانه,2.0,True,300000000.0,۳۰۰۰۰۰۰۰۰ ,,6.0
خانه ویلایی 150 متر,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,150,ویلا,2.0,True,,,,17.0
دربست 55متری,,2023-08-12 09:46:11,razavi-khorasan,house-apartment-for-rent,55,خانه,1.0,,145000000.0,۱۴۵۰۰۰۰۰۰ ,,22.0
آپارتمان فاز2,,2023-08-12 09:46:11,khuzestan,house-apartment-for-rent,80,آپارتمان,2.0,,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,12.0
رهن خانه ویلایی 200 متر,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,200,خانه,2.0,True,,,,22.0
همکف 75 متری خواجه ربیع بلوار بهمن 23,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,75,آپارتمان,1.0,,120000000.0,۱۲۰۰۰۰۰۰۰ ,,7.0
ویلایی نوساز فول امکانات,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,115,خانه,2.0,True,400000000.0,۴۰۰۰۰۰۰۰۰ ,,1.0
واقع در ذولفقاری بیست متری بهمنشیر15 وسط خیابان,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,270,ویلا,4.0,True,150000000.0,۱۵۰۰۰۰۰۰۰ ,,5.0
اجاره آپارتمان ،خیابان حضرت رسول ،بین طالقانی و منتظری,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,115,آپارتمان,2.0,True,400000000.0,۴۰۰۰۰۰۰۰۰ ,True,
2000متر طبقه اول ویلایی بزرگ شیک تخفیف جزئی,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,200,ویلا,2.0,True,170000000.0,۱۷۰۰۰۰۰۰۰ ,,2.0
آپارتمان شهرک آغاجاری 85 متری,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,85,آپارتمان,2.0,,220000000.0,۲۲۰۰۰۰۰۰۰ ,,8.0
خانه 90 متری دو خوابه,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,110,خانه,2.0,,150000000.0,۱۵۰۰۰۰۰۰۰ ,,6.0
خانه 85 متر اهواز حیاط دار,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,85,آپارتمان,2.0,True,150000000.0,۱۵۰۰۰۰۰۰۰ ,,16.0
آپارتمان شهرک آغاجاری,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,85,آپارتمان,2.0,,230000000.0,۲۳۰۰۰۰۰۰۰ ,,7.0
آپارتمان شهرک آغاجاری 100 متر,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,100,آپارتمان,2.0,,185000000.0,۱۸۵۰۰۰۰۰۰ ,,1.0
رهن آپارتمان 75 متری,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,75,آپارتمان,1.0,,250000000.0,۲۵۰۰۰۰۰۰۰ ,,1.0
رهن و اجاره کوی کارگر,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,90,خانه,2.0,,250000000.0,۲۵۰۰۰۰۰۰۰ ,,15.0
رهن و اجاره60متر,,2023-08-12 09:46:12,khuzestan,house-apartment-for-rent,60,آپارتمان,1.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,,10.0
رهن و اجاره خانه ویلایی در کوهسنگی,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,620,خانه,4.0,,400000000.0,۴۰۰۰۰۰۰۰۰ ,,
ویلای دربست,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,110,خانه,1.0,True,,,,12.0
واحد 90 متر پیام,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,90,آپارتمان,2.0,,50000000.0,۵۰۰۰۰۰۰۰ ,True,12.0
رهن واجاره,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,110,خانه,1.0,True,,,,12.0
طبقه همکف نوساز تمام فول,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,130,خانه,2.0,True,250000000.0,۲۵۰۰۰۰۰۰۰ ,,7.0
خانه همکف دربست,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,105,خانه,2.0,,75000000.0,۷۵۰۰۰۰۰۰ ,,3.0
منزل ویلایی،,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,120,خانه,1.0,True,35000000.0,۳۵۰۰۰۰۰۰ ,,10.0
اجاره آپارتمان 90 متر در کاشمر,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,90,آپارتمان,2.0,True,130000000.0,۱۳۰۰۰۰۰۰۰ ,,2.0
90 متری دو خواب,,2023-08-12 09:46:12,razavi-khorasan,house-apartment-for-rent,90,آپارتمان,2.0,True,,,True,14.0
اجاره آپارتمان 140 متر در کاشمر,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,140,آپارتمان,3.0,True,240000000.0,۲۴۰۰۰۰۰۰۰ ,,17.0
مینی سوئیت 24متری,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,24,آپارتمان,0.0,,40000000.0,۴۰۰۰۰۰۰۰ ,,
اجاره ویلا 91 متر در کاشمر,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,91,خانه,2.0,True,50000000.0,۵۰۰۰۰۰۰۰ ,,11.0
رهن کامل 90 متری به بالاتربن قیمت دوساله,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,90,آپارتمان,2.0,True,250000000.0,۲۵۰۰۰۰۰۰۰ ,,6.0
آپارتمان خشک کلیدنخورده محله نوروزآباد,3100000000.0,2023-08-12 09:46:13,ilam-province,houses-apartments-for-sale,131,,2.0,,,,,
فروش خانه مسکونی,2700000000.0,2023-08-12 09:46:13,ilam-province,houses-apartments-for-sale,170,خانه و کلنگی,2.0,True,,,,26.0
آپارتمان 200متری سه خوابه با پارکینگ و آسانسور,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,200,آپارتمان,3.0,True,700000000.0,۷۰۰۰۰۰۰۰۰ ,True,
آپارتمان 70 متری طبقه سوم تمیز و حاشیه,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,70,آپارتمان,1.0,,200000000.0,۲۰۰۰۰۰۰۰۰ ,,2.0
همکف مستقل 140 متری خیابان شهاب پارکینگ,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,140,خانه,2.0,True,300000000.0,۳۰۰۰۰۰۰۰۰ ,,7.0
450 متر ویلایی دربست دوبلکس,,2023-08-12 09:46:13,razavi-khorasan,house-apartment-for-rent,450,خانه,4.0,True,750000000.0,۷۵۰۰۰۰۰۰۰ ,True,6.0
آپارتمان 80 متری * پارکینگ دار/ راسته عریض اندیشه 71,,2023-08-12 09:46:14,razavi-khorasan,house-apartment-for-rent,80,آپارتمان,2.0,True,170000000.0,۱۷۰۰۰۰۰۰۰ ,,10.0
خونه ویلایی، باغچه,2600000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,330,,2.0,,,,,
اجاره آپارتمان 50 متر خواجه نظام,,2023-08-12 09:46:14,razavi-khorasan,house-apartment-for-rent,50,آپارتمان,1.0,,400000000.0,۴۰۰۰۰۰۰۰۰ ,,
آپارتمان 110متری،فول,,2023-08-12 09:46:14,razavi-khorasan,house-apartment-for-rent,110,آپارتمان,2.0,True,500000000.0,۵۰۰۰۰۰۰۰۰ ,True,5.0
فروش منزل مسکونی مهران,1100000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,160,خانه و کلنگی,2.0,,,,,12.0
آپارتمان 100متری میران دانش,1400000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,100,آپارتمان,2.0,True,,,,10.0
منزل یک خوابه,1800000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,111,خانه و کلنگی,1.0,True,,,,10.0
120 متر بلوار دانشگاه شهرک مخابرات پلاک یک با دید کامل دریا,10800000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,120,آپارتمان,2.0,True,,,True,
دوبلکس نما مدرن,3500000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,170,آپارتمان,2.0,,,,,
فروش ویلایی شهرک ناز 362 متر,10500000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,362,خانه و کلنگی,3.0,,,,,12.0
اجاره مسکن مهر مهران,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,85,آپارتمان,2.0,True,50000000.0,۵۰۰۰۰۰۰۰ ,,8.0
ملک 2طبقه طبقه 2وم 120متر اجاره,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,120,خانه,2.0,,,,,10.0
پیش فروش واحد 105 متری تحویل سه ماهه,4800000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,105,آپارتمان,2.0,True,,,True,
آپارتمان 127 متری بر بلوار جمهوری,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,127,آپارتمان,2.0,True,130000000.0,۱۳۰۰۰۰۰۰۰ ,True,1.0
خانه اجاره ای می‌خوام محدوده سرطاف ایلام,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,80,خانه,2.0,True,3000000.0,۳۰۰۰۰۰۰ ,True,5.0
اجاره واحد اپارتمانی با وسیله,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,200,آپارتمان,3.0,True,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,1.0
اجاره‌خانه‌سرطاف,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,100,خانه,1.0,,30000000.0,۳۰۰۰۰۰۰۰ ,,16.0
اجاره خانه 87 متری بلوار صدوقی کوچه شهدای فیضی,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,87,خانه,1.0,,50000000.0,۵۰۰۰۰۰۰۰ ,,12.0
اجاره آپارتمان صد متری نامدنانان,,2023-08-12 09:46:14,ilam-province,house-apartment-for-rent,100,آپارتمان,2.0,True,,,True,12.0
فروش اپارتمان فوری,800000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,98,آپارتمان,2.0,True,,,True,
فروش منزل مسکونی,2900000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,252,خانه و کلنگی,2.0,True,,,,18.0
فروش واحد آپارتمان فول تکمیل بلوار مدرس,,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,45,آپارتمان,1.0,,,,,16.0
طبقه دوم ساختمان اسکلت بتنی.,1650000000.0,2023-08-12 09:46:14,ilam-province,houses-apartments-for-sale,140,آپارتمان,2.0,,,,,18.0
فروش واحد آپارتمانی,3200000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,108,آپارتمان,2.0,,,,True,5.0
فروش ملک بسیار با ارزش,3200000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,182,,2.0,,,,,
4طبقه در 8واحد مصلا کوی فرهنگیان بعد بیمارستان زاگرس,1850000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,88,آپارتمان,2.0,True,,,True,
فروش آپارتمان 110 متر در دریاچه چیتگر تهران,2370000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,110,آپارتمان,3.0,True,,,True,
طبقه 5 ام رو به خیابان 4 واحدی 93متر,1400000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,93,آپارتمان,2.0,True,,,True,4.0
ویلای دوبلکس، خرید، معاوضه، قابل ساخت تا 7 طبقه,17500000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,450,خانه و کلنگی,3.0,True,,,,23.0
کاشان 105 متری,3500000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,105,آپارتمان,2.0,True,,,True,3.0
منزل ویلایی سند تک برگ186 متر,2500000000.0,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,186,خانه و کلنگی,2.0,True,,,,3.0
خانه ویلایی120 متر,,2023-08-12 09:46:15,ilam-province,houses-apartments-for-sale,120,خانه و کلنگی,1.0,,,,,7.0
آپارتمان دوخوابه شیک و تمیز 80 متری,3250000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,80,آپارتمان,2.0,True,,,True,4.0
107متر منزل دوطبقه دونبش سعید فر.همکف کامل کامل..,2500000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,107,خانه و کلنگی,2.0,True,,,,9.0
منزل ویلایی,,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,160,خانه و کلنگی,3.0,True,,,,22.0
اپارتمان یکخوابه سند تکبرگ و ازاد 54متر,1200000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,54,آپارتمان,1.0,True,,,,16.0
شهرک کشوری برج Q1D سه خواب,2380000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,130,آپارتمان,3.0,True,,,True,
خانه نقلی آزادگان,1300000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,105,خانه و کلنگی,1.0,True,,,,7.0
خیابان سید ابوالحسنی اصفهانی,240000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,63,آپارتمان,1.0,,,,,12.0
خانه ویلایی و آپارتمان,,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,400,آپارتمان,,True,,,,2.0
معاوضه آپارتمان واقع در اهواز با اصفهان,250000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,1000,آپارتمان,2.0,,,,True,5.0
آپارتمان مسکن مهر فولادشهر,,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,80,آپارتمان,2.0,True,,,True,3.0
فروش آپارتمان 323 متر در مهرآباد,48500000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,323,آپارتمان,3.0,,,,True,4.0
خانه فروشی واقع در شهرک الغدیر,3500000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,240,خانه و کلنگی,3.0,True,,,,30.0
آپارتمان 167 متر در سیچان,12000000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,167,آپارتمان,3.0,True,,,True,
فروش آپارتمان 200 متر بلوار ملت باغ به,40000000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,200,آپارتمان,3.0,True,,,True,2.0
فروش ویلایی 4 واحد 530 متر در شیخ مفید,28000000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,530,خانه و کلنگی,,True,,,,5.0
منزل شمالی.محدوده مولوی شمالی. 169متر,,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,169,خانه و کلنگی,2.0,True,,,,24.0
فروش ویژه آپارتمان 100متری با بهترین قیمت,1100000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,100,آپارتمان,2.0,True,,,True,
فروش آپارتمان 60 متر در عباس آباد,550000000.0,2023-08-12 09:46:15,isfahan-province,houses-apartments-for-sale,60,آپارتمان,1.0,True,,,True,
رهن واحد 96متری مهرشهر بلوار ارم میلاد 4,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,96,آپارتمان,2.0,True,450000000.0,۴۵۰۰۰۰۰۰۰ ,True,6.0
آپارتمان 142 متری / ورودی / نوید,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,142,آپارتمان,3.0,True,1000000000.0,۱۰۰۰۰۰۰۰۰۰ ,True,11.0
واحد 80متری دو خوابه برازنده,1750000000.0,2023-08-12 09:46:16,isfahan-province,houses-apartments-for-sale,80,آپارتمان,2.0,True,,,True,19.0
فروش کلنگی 305 متر,22875000000.0,2023-08-12 09:46:16,isfahan-province,houses-apartments-for-sale,305,خانه و کلنگی,4.0,True,,,,
اجاره آپارتمان 88 متر در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,88,آپارتمان,2.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,3.0
اجاره آپارتمان 150 متری در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,150,آپارتمان,3.0,True,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,14.0
اجاره آپارتمان 130 متر در فلکه چهارم و پنجم,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,130,آپارتمان,3.0,True,600000000.0,۶۰۰۰۰۰۰۰۰ ,True,5.0
اجاره آپارتمان 150 متر در فلکه چهارم و پنجم,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,150,آپارتمان,3.0,True,800000000.0,۸۰۰۰۰۰۰۰۰ ,True,
اجاره84متری فول خوش نقشه در بلوار امام رضا,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,84,آپارتمان,2.0,True,200000000.0,۲۰۰۰۰۰۰۰۰ ,,10.0
اپارتمان اجاره ای / شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,90,آپارتمان,2.0,True,180000000.0,۱۸۰۰۰۰۰۰۰ ,True,2.0
اجاره آپارتمان 85 متر در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,85,آپارتمان,2.0,True,80000000.0,۸۰۰۰۰۰۰۰ ,True,3.0
اجاره آپارتمان 70 متر در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,70,آپارتمان,2.0,,95000000.0,۹۵۰۰۰۰۰۰ ,True,10.0
پنت هاوس / بهارشرقی,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,65,آپارتمان,1.0,,15000000.0,۱۵۰۰۰۰۰۰ ,True,6.0
اجاره آپارتمان 97 متر در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,97,آپارتمان,2.0,True,250000000.0,۲۵۰۰۰۰۰۰۰ ,,8.0
80متر دوخواب شاهین ویلا,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,80,آپارتمان,2.0,,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,5.0
اجاره آپارتمان 140 متر در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,140,آپارتمان,3.0,True,750000000.0,۷۵۰۰۰۰۰۰۰ ,True,
آپارتمان 82 متری در مصباح,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,82,آپارتمان,2.0,True,400000000.0,۴۰۰۰۰۰۰۰۰ ,,15.0
اجاره آپارتمان 80 متر در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,80,آپارتمان,1.0,,200000000.0,۲۰۰۰۰۰۰۰۰ ,True,3.0
اجاره آپارتمان 150 متر در دهکده,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,150,آپارتمان,3.0,True,1300000000.0,۱۳۰۰۰۰۰۰۰۰ ,True,
65 متر ، دو خواب ، واریانشهر,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,65,آپارتمان,2.0,True,230000000.0,۲۳۰۰۰۰۰۰۰ ,,17.0
اجاره آپارتمان 124 متر در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,124,آپارتمان,2.0,True,850000000.0,۸۵۰۰۰۰۰۰۰ ,True,5.0
اجاره آپارتمان 78 متر در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,78,آپارتمان,2.0,True,100000000.0,۱۰۰۰۰۰۰۰۰ ,True,2.0
اجاره آپارتمان 88 متری در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,88,آپارتمان,2.0,True,110000000.0,۱۱۰۰۰۰۰۰۰ ,True,7.0
اجاره آپارتمان 80 متر در شهر جدید هشتگرد,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,80,آپارتمان,2.0,True,150000000.0,۱۵۰۰۰۰۰۰۰ ,True,12.0
اجاره آپارتمان غرق نور در بهترین محله فاز 2,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,95,آپارتمان,2.0,True,255000000.0,۲۵۵۰۰۰۰۰۰ ,,11.0
اجاره آپارتمان 120 متر در گوهردشت - فاز 2,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,120,آپارتمان,2.0,True,400000000.0,۴۰۰۰۰۰۰۰۰ ,,14.0
اجاره آپارتمان 100 متر در فردیس,,2023-08-12 09:46:16,alborz,house-apartment-for-rent,100,آپارتمان,2.0,True,380000000.0,۳۸۰۰۰۰۰۰۰ ,,11.0
مسکن مهرفرهنگیان.اندیمشک,1000000000.0,2023-08-12 09:46:16,khuzestan,houses-apartments-for-sale,75,آپارتمان,2.0,True,,,True,10.0
آپارتمان 88 متری دو خوابه،فروش فوری,2450000000.0,2023-08-12 09:46:16,khuzestan,houses-apartments-for-sale,88,آپارتمان,2.0,True,,,True,5.0
خانه در شهرک مدنی,350000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,100,خانه و کلنگی,2.0,True,,,,2.0
منزل 100 متری گلالک گلستان 13,530000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,100,خانه و کلنگی,1.0,,,,,7.0
ویلایی دوطبقه 137 متری مجزا کمپلو جنوبی,3400000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,137,خانه و کلنگی,4.0,True,,,,18.0
160 متری تک واحد 2 پارکینگ سندی تاپ لوکیشن منطقه,4300000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,160,آپارتمان,3.0,True,,,True,1.0
آپارتمان 175 متری تک واحد دو پارکینگ تاپ لوکیشن اقبال,5950000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,175,آپارتمان,3.0,True,,,True,3.0
فروش آپارتمان 116 متر فول تک واحدی در فضا فردیس,3770000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,116,آپارتمان,2.0,True,,,True,3.0
فروش اپارتمان در زیتون کارمندی اهواز,1700000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,70,آپارتمان,2.0,True,,,True,13.0
فروش نیم پلاک همکف مطهری,1700000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,120,,2.0,,,,,
ویلایی مناسب تجاری وساخت بازار چه,,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,280,خانه و کلنگی,2.0,True,,,,14.0
آپارتمان لوکس کلید اول تمیز,1300000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,95,آپارتمان,2.0,True,,,True,7.0
آپارتمان90متری بسیارشیک باپلن مربع نمای جلو,1650000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,8.0
اپارتمان مربع نمای روبرو90متری,1650000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,90,آپارتمان,2.0,True,,,True,8.0
اپارتمان 100 متری همکف,530000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,100,آپارتمان,2.0,True,,,,12.0
فروش آپارتمان زیتون کارمندی,5450000000.0,2023-08-12 09:46:17,khuzestan,houses-apartments-for-sale,132,آپارتمان,3.0,True,,,,1.0
